Date,Price,Open,High,Low,Amount,Return
2017/1/24,893.8,921.5,925.6,889.2,58.87,-0.03010000 
2017/1/25,894.4,893.8,905.7,883.6,37.9,0.00070000 
2017/1/26,915.6,894.4,919.3,893.5,33.8,0.02360000 
2017/1/27,918,915.6,922.6,907.9,30.97,0.00270000 
2017/1/28,918.5,918,921.9,912.8,14.31,0.00050000 
2017/1/29,914.5,918.5,922.4,912.7,11.05,-0.00430000 
2017/1/30,920.7,914.5,922.3,911.5,19.06,0.00680000 
2017/1/31,965.5,920.7,967.5,917.4,54.67,0.04860000 
2017/2/1,982.4,965.5,986.6,959.8,45.22,0.01750000 
2017/2/2,"1,004.00",982.4,"1,009.10",973.5,50.86,0.02190000 
2017/2/3,"1,013.00","1,004.00","1,023.70",989.2,61.67,0.00900000 
2017/2/4,"1,031.80","1,013.00","1,041.00","1,000.40",39.46,0.01860000 
2017/2/5,"1,016.10","1,031.80","1,033.70","1,004.00",31.06,-0.01530000 
2017/2/6,"1,024.70","1,016.10","1,030.60","1,010.80",32.02,0.00840000 
2017/2/7,"1,049.60","1,024.70","1,054.10","1,019.90",39.55,0.02430000 
2017/2/8,"1,055.50","1,049.60","1,069.20","1,020.30",65.15,0.00560000 
2017/2/9,979,"1,055.50","1,073.00",924.7,146.75,-0.07250000 
2017/2/10,997.6,979,"1,005.60",947,62.13,0.01910000 
2017/2/11,"1,008.30",997.6,"1,014.30",983.9,28.32,0.01070000 
2017/2/12,996.5,"1,008.30","1,007.80",992.5,14.75,-0.01170000 
2017/2/13,995.4,996.5,"1,007.60",975.1,32.91,-0.00120000 
2017/2/14,"1,008.30",995.4,"1,013.80",986.5,39.54,0.01300000 
2017/2/15,"1,008.20","1,008.30","1,010.90",999.7,23.36,-0.00010000 
2017/2/16,"1,031.90","1,008.20","1,040.30","1,007.40",38.08,0.02350000 
2017/2/17,"1,049.40","1,031.90","1,057.40","1,025.90",45.71,0.01690000 
2017/2/18,"1,052.30","1,049.40","1,063.20","1,044.70",25.36,0.00270000 
2017/2/19,"1,048.90","1,052.30","1,056.50","1,037.70",17.95,-0.00320000 
2017/2/20,"1,077.60","1,048.90","1,081.80","1,041.00",31.01,0.02730000 
2017/2/21,"1,119.00","1,077.60","1,123.00","1,073.50",57.05,0.03850000 
2017/2/22,"1,120.50","1,119.00","1,132.30","1,094.80",47.91,0.00130000 
2017/2/23,"1,171.90","1,120.50","1,181.60","1,113.50",65.74,0.04590000 
2017/2/24,"1,176.50","1,171.90","1,211.70","1,092.40",108.17,0.00390000 
2017/2/25,"1,149.10","1,176.50","1,180.00","1,116.20",45.86,-0.02330000 
